"id","slug","name","avatar_url","website_url","created_at","updated_at"
"1","synapse","Synapse","logo/synapse.png","https://synapse.org/","2023-08-09 23:01:32","2023-10-25 18:33:43"
"3","cami","CAMI","logo/cami.png","https://data.cami-challenge.org/","2023-08-09 23:01:32","2023-10-19 21:50:25"
"5","grand-challenge","Grand Challenge","logo/grand-challenge.png","https://grand-challenge.org/","2023-08-09 23:01:32","2023-10-19 21:50:26"
"6","precision-fda","precisionFDA","logo/precisionfda.png","https://precision.fda.gov/challenges","2023-08-09 23:01:32","2023-11-02 18:45:58"
"8","kaggle","Kaggle","logo/kaggle.png","https://www.kaggle.com/","2023-08-09 23:01:32","2023-10-19 21:50:28"
"9","codalab","CodaLab","logo/codalab.jpg","https://codalab.lisn.upsaclay.fr/","2023-08-09 23:01:32","2023-10-19 21:50:30"
"10","codabench","CodaBench","logo/codalab.jpg","https://www.codabench.org/","2023-08-09 23:01:32","2023-10-19 21:50:30"
"13","eterna","Eterna","logo/eterna.svg","https://eternagame.org/","2023-08-09 23:01:32","2023-10-19 21:50:33"
"14","other","Other","","","2023-08-09 23:01:32","2023-10-19 21:50:34"
"15","nightingale-os","Nightingale OS","logo/nightingale-os.jpeg","https://app.nightingalescience.org/","2023-08-22 15:58:49","2023-10-19 21:50:35"
"16","evalai","EvalAI","logo/evalai.png","https://eval.ai/","2023-09-15 16:00:34","2023-10-19 21:50:36"
"17","cache","CACHE","logo/cache.png","https://cache-challenge.org/","2023-10-16 18:43:36","2023-10-25 19:47:54"
"18","cameo","CAMEO","","https://www.cameo3d.org","2023-11-13 22:47:03","2023-11-13 22:47:03"
